age,value
0,293.712
1,283.235
2,277.298
3,271.141
4,262.068
5,251.553
6,240.12
7,227.664
8,215.998
9,205.006
10,193.967
11,182.938
12,172.335
13,162.511
14,153.376
15,144.79
16,137.588
17,131.626
18,126.081
19,121.125
20,116.282
21,111.872
22,107.537
23,103.394
24,99.311
25,95.574
26,91.596
27,87.765
28,83.732
29,80.14
30,74.397
31,50.15
32,51.323
33,51.337
34,50.603
35,49.508
36,48.27
37,46.777
38,45.5
39,44.625
40,43.662
41,42.276
42,41.625
43,41.579
44,41.584
45,41.156
46,40.785
47,40.509
48,40.28
49,40.064
50,39.908
51,39.935
52,39.326
53,38.231
54,37.083
55,36.134
56,34.79
57,34.501
58,34.903
59,35.385
60,35.333
61,35.61
62,34.712
63,33.137
64,31.083
65,29.557
66,26.146
67,20.996
68,18.185
69,16.677
70,15.008
71,13.748
72,12.492
73,11.21
74,9.959
75,8.775
76,7.988
77,7.18
78,6.376
79,5.606
80,4.899
81,4.232
82,3.622
83,3.065
84,2.559
85,2.102
86,1.703
87,1.355
88,1.057
89,0.811
90,0.611
91,0.452
92,0.328
93,0.231
94,0.16
95,0.107
96,0.071
97,0.046
98,0.028
99,0.017
100,0.023
