,Time,Sex,AgeStart,Value
2,1990,Both sexes,0,344355.0
5,1990,Both sexes,1,337724.0
8,1990,Both sexes,2,336965.5
11,1990,Both sexes,3,336958.0
14,1990,Both sexes,4,335208.0
17,1990,Both sexes,5,332710.5
20,1990,Both sexes,6,331481.0
23,1990,Both sexes,7,329321.5
26,1990,Both sexes,8,329539.5
29,1990,Both sexes,9,320156.0
32,1990,Both sexes,10,305233.0
35,1990,Both sexes,11,298279.0
38,1990,Both sexes,12,291197.0
41,1990,Both sexes,13,280658.5
44,1990,Both sexes,14,268393.0
47,1990,Both sexes,15,253668.0
50,1990,Both sexes,16,240355.5
53,1990,Both sexes,17,231227.0
56,1990,Both sexes,18,221917.0
59,1990,Both sexes,19,211994.0
62,1990,Both sexes,20,202075.0
65,1990,Both sexes,21,192400.5
68,1990,Both sexes,22,182900.5
71,1990,Both sexes,23,173237.5
74,1990,Both sexes,24,163329.0
77,1990,Both sexes,25,153556.5
80,1990,Both sexes,26,144942.5
83,1990,Both sexes,27,137945.5
86,1990,Both sexes,28,131869.5
89,1990,Both sexes,29,126477.5
92,1990,Both sexes,30,121882.0
95,1990,Both sexes,31,118143.5
98,1990,Both sexes,32,115131.5
1,1990,Both sexes,33,112365.0
4,1990,Both sexes,34,109554.5
7,1990,Both sexes,35,106773.0
10,1990,Both sexes,36,103912.0
13,1990,Both sexes,37,100768.5
16,1990,Both sexes,38,97472.0
19,1990,Both sexes,39,93996.5
22,1990,Both sexes,40,89635.5
25,1990,Both sexes,41,75413.0
28,1990,Both sexes,42,63981.0
31,1990,Both sexes,43,63562.5
34,1990,Both sexes,44,62038.5
37,1990,Both sexes,45,59948.5
40,1990,Both sexes,46,57631.5
43,1990,Both sexes,47,55078.5
46,1990,Both sexes,48,52447.0
49,1990,Both sexes,49,50015.0
52,1990,Both sexes,50,47636.0
55,1990,Both sexes,51,45031.5
58,1990,Both sexes,52,42685.0
61,1990,Both sexes,53,41137.5
64,1990,Both sexes,54,40055.0
67,1990,Both sexes,55,38978.0
70,1990,Both sexes,56,37931.5
73,1990,Both sexes,57,37037.5
76,1990,Both sexes,58,36279.5
79,1990,Both sexes,59,35649.0
82,1990,Both sexes,60,35105.5
85,1990,Both sexes,61,34649.5
88,1990,Both sexes,62,33930.0
91,1990,Both sexes,63,32718.5
94,1990,Both sexes,64,31218.5
97,1990,Both sexes,65,29616.0
0,1990,Both sexes,66,27312.5
3,1990,Both sexes,67,24958.5
6,1990,Both sexes,68,22411.5
9,1990,Both sexes,69,20564.0
12,1990,Both sexes,70,19468.5
15,1990,Both sexes,71,18383.5
18,1990,Both sexes,72,17040.0
21,1990,Both sexes,73,15680.0
24,1990,Both sexes,74,14289.5
27,1990,Both sexes,75,15207.5
30,1990,Both sexes,76,15461.0
33,1990,Both sexes,77,12542.0
36,1990,Both sexes,78,10015.5
39,1990,Both sexes,79,8476.0
42,1990,Both sexes,80,7260.5
45,1990,Both sexes,81,6179.5
48,1990,Both sexes,82,5253.5
51,1990,Both sexes,83,4391.5
54,1990,Both sexes,84,3608.5
57,1990,Both sexes,85,2921.0
60,1990,Both sexes,86,2371.0
63,1990,Both sexes,87,1925.0
66,1990,Both sexes,88,1533.0
69,1990,Both sexes,89,1199.5
72,1990,Both sexes,90,923.0
75,1990,Both sexes,91,698.5
78,1990,Both sexes,92,520.0
81,1990,Both sexes,93,380.0
84,1990,Both sexes,94,272.0
87,1990,Both sexes,95,190.0
90,1990,Both sexes,96,129.5
93,1990,Both sexes,97,86.5
96,1990,Both sexes,98,56.5
99,1990,Both sexes,99,35.5
2,1990,Both sexes,100,54.0
