,Time,Sex,AgeStart,Value
0,1980,Both sexes,15,54.809999999999995
1,1980,Both sexes,16,94.58500000000001
2,1980,Both sexes,17,140.104
3,1980,Both sexes,18,187.988
4,1980,Both sexes,19,229.34099999999998
5,1980,Both sexes,20,261.598
6,1980,Both sexes,21,280.93800000000005
7,1980,Both sexes,22,288.086
8,1980,Both sexes,23,288.74699999999996
9,1980,Both sexes,24,285.082
10,1980,Both sexes,25,280.663
11,1980,Both sexes,26,276.743
12,1980,Both sexes,27,272.694
13,1980,Both sexes,28,268.553
14,1980,Both sexes,29,264.87899999999996
15,1980,Both sexes,30,262.14799999999997
16,1980,Both sexes,31,258.061
17,1980,Both sexes,32,252.48199999999997
18,1980,Both sexes,33,243.238
19,1980,Both sexes,34,230.794
20,1980,Both sexes,35,217.935
21,1980,Both sexes,36,207.998
22,1980,Both sexes,37,197.06
23,1980,Both sexes,38,184.90200000000002
24,1980,Both sexes,39,172.971
25,1980,Both sexes,40,163.07399999999998
26,1980,Both sexes,41,145.27200000000002
27,1980,Both sexes,42,122.306
28,1980,Both sexes,43,98.959
29,1980,Both sexes,44,76.747
30,1980,Both sexes,45,55.408
31,1980,Both sexes,46,40.314
32,1980,Both sexes,47,28.884
33,1980,Both sexes,48,20.618000000000002
34,1980,Both sexes,49,13.046000000000001
0,1990,Both sexes,15,39.177
1,1990,Both sexes,16,68.886
2,1990,Both sexes,17,103.65
3,1990,Both sexes,18,140.84
4,1990,Both sexes,19,172.97799999999998
5,1990,Both sexes,20,198.055
6,1990,Both sexes,21,214.09300000000002
7,1990,Both sexes,22,221.538
8,1990,Both sexes,23,223.774
9,1990,Both sexes,24,222.11
10,1990,Both sexes,25,218.851
11,1990,Both sexes,26,214.879
12,1990,Both sexes,27,210.846
13,1990,Both sexes,28,206.925
14,1990,Both sexes,29,203.142
15,1990,Both sexes,30,199.546
16,1990,Both sexes,31,195.328
17,1990,Both sexes,32,190.352
18,1990,Both sexes,33,183.81300000000002
19,1990,Both sexes,34,175.757
20,1990,Both sexes,35,166.83700000000002
21,1990,Both sexes,36,157.83700000000002
22,1990,Both sexes,37,147.624
23,1990,Both sexes,38,136.176
24,1990,Both sexes,39,124.153
25,1990,Both sexes,40,112.006
26,1990,Both sexes,41,96.887
27,1990,Both sexes,42,79.796
28,1990,Both sexes,43,63.492999999999995
29,1990,Both sexes,44,48.794999999999995
30,1990,Both sexes,45,36.049
31,1990,Both sexes,46,26.493
32,1990,Both sexes,47,19.241999999999997
33,1990,Both sexes,48,13.88
34,1990,Both sexes,49,8.796
0,2000,Both sexes,15,34.74
1,2000,Both sexes,16,66.608
2,2000,Both sexes,17,103.57600000000001
3,2000,Both sexes,18,141.854
4,2000,Both sexes,19,170.86499999999998
5,2000,Both sexes,20,188.631
6,2000,Both sexes,21,198.189
7,2000,Both sexes,22,200.85500000000002
8,2000,Both sexes,23,200.475
9,2000,Both sexes,24,198.067
10,2000,Both sexes,25,194.303
11,2000,Both sexes,26,189.352
12,2000,Both sexes,27,183.672
13,2000,Both sexes,28,177.347
14,2000,Both sexes,29,170.32500000000002
15,2000,Both sexes,30,162.79399999999998
16,2000,Both sexes,31,155.316
17,2000,Both sexes,32,147.944
18,2000,Both sexes,33,140.023
