time,ng.new_infections,ng.n_infected,ct.new_infections,ct.n_infected,tv.new_infections,tv.n_infected
2000,303948.9646,133038.1343,236837.1604,169252.6808,852516.6775,760272.2163
2001,309130.7609,135296.6546,240714.9333,171869.2449,857369.4991,769847.7893
2002,314495.0762,137613.2789,245864.8649,175277.9051,865533.4499,782681.5928
2003,318973.1757,139513.8455,252151.8052,179435.1857,879210.7601,799819.4978
2004,322340.6021,140920.1905,258298.8213,183499.3385,892610.0697,816739.4437
2005,324015.0826,141602.415,263100.6251,186710.746,901728.4378,830346.8373
2006,324513.446,141921.388,266977.9897,189338.4139,902188.2046,825878.5534
2007,327068.545,143314.2388,273233.23,193641.2408,901618.8073,804999.775
2008,325319.2055,142923.5011,275726.5267,195329.7197,888648.0932,765341.1474
2009,323000.0103,142212.2352,278543.6872,197300.8235,882183.8939,734636.7429
2010,320885.9669,141428.4974,282160.7957,199910.653,890675.8744,729784.6129
2011,318657.983,140517.8849,286207.9126,202911.2948,911341.6452,744446.4366
2012,316422.0215,139664.0155,290391.8893,206082.0887,935534.5407,761086.1768
2013,313154.7512,138421.2932,291617.9267,207239.118,951901.2188,770824.6273
2014,310053.519,137244.6703,293141.5201,208639.5333,972544.6629,782505.8625
2015,308106.0534,136541.1984,294685.3191,210066.998,993846.3428,793974.2086
2016,307182.9134,136197.8529,296457.3572,211708.4301,1023974.285,805836.7741
2017,307363.5933,136262.8186,298873.6919,213874.9852,1066953.358,819453.9549
2018,309849.4251,137282.001,302240.419,216677.6886,1112073.166,834207.6611
2019,314758.6761,139454.12,306592.7768,220119.5707,1151903.149,850737.1429
2020,321611.6044,142838.2457,313717.4557,225217.3796,1180655.023,872826.4222
2021,332127.0536,147874.4351,318094.8447,229431.5407,1189789.401,896177.1176
2022,331581.5851,148024.6408,324596.1114,234159.9308,1216203.595,916616.9788
2023,329288.0993,147357.9877,330723.4277,238414.2025,1236955.364,933444.5787
2024,326971.528,146531.0042,337680.4114,243202.2993,1258867.686,951775.3762
2025,327595.4604,147010.4054,346996.5456,249577.8549,1287607.605,975466.8945
2026,327205.4579,147097.3307,356678.9785,256179.3006,1317061.423,999753.3219
2027,326579.9203,147040.8053,366359.4027,262711.0983,1346699.984,1023889.252
2028,326276.1781,147001.9213,376659.8098,269547.1239,1378297.482,1048921.503
2029,324184.0681,146326.1982,387339.6472,276531.8912,1410963.936,1074531.412
2030,321307.3084,145453.1062,398315.3611,283700.876,1445340.875,1101140.585
2031,315792.9719,143361.4242,409150.298,290759.8461,1479654.056,1127553.807
2032,310848.9601,141288.8459,419796.0051,297763.407,1514343.871,1154010
2033,304731.9876,138931.4793,431010.3065,305301.2735,1552880.928,1182737.624
2034,296610.7806,135830.9625,442255.316,312884.4213,1593266.675,1212249.486
2035,289970.2199,133262.035,453020.5094,320082.2818,1633644.986,1241136.37
2036,281908.2614,129999.5404,463739.9437,327285.2187,1675190.411,1270572.598
2037,275010.1861,127235.0152,473782.9431,334024.8343,1715336.692,1298825.684
2038,266727.4766,123973.9983,483992.475,340911.0328,1758182.438,1328592.882
2039,259544.9164,121307.2082,493990.9187,347767.7651,1802181.767,1358793.079
2040,252137.3895,118271.0474,503644.4804,354388.6339,1846158.236,1388555.809
2041,245817.7208,115775.7662,513194.2956,361015.5053,1890480.776,1418386.851
2042,238652.7986,112861.7918,522933.3874,367782.3165,1935788.064,1448888.864
2043,232579.1135,110562.0531,532139.3036,374142.3771,1980081.694,1478250.942
2044,226686.8492,108239.5053,541633.0607,380714.2675,2026106.147,1508907.19
2045,221009.8626,106017.9653,550451.1649,386772.2712,2069886.532,1538034.422
2046,216267.8692,104221.1234,559464.7914,392889.0517,2113639.107,1567391.013
2047,211401.684,102329.4909,568315.3387,398868.982,2156389.935,1596209.453
2048,205292.404,99922.84957,576996.5438,404768.0545,2198484.742,1624738.168
2049,200602.4106,98065.96149,585795.0181,410748.9406,2240411.079,1653420.065
2050,195971.0808,96009.88739,594298.2379,416545.9732,2280499.857,1681096.598
