year,n_alive,hiv.prevalence,hiv.n_infected,hiv.new_infections,hiv.new_deaths,chlamydia.new_infections,chlamydia.n_infected,gonorrhea.new_infections,gonorrhea.n_infected,trichomoniasis.new_infections,trichomoniasis.n_infected
1990,10113893,0.06997425,650398.1894,220610.6639,19493.01613,,,,,,
1991,10377815,0.085197951,836367.1097,240208.3526,27903.42327,,,,,,
1992,10641501,0.1009127,1014387.805,243517.1114,37426.04273,,,,,,
1993,10794918,0.108178522,1171413.694,234924.1657,47616.35714,,,,,,
1994,10858594,0.11543497,1301760.737,219800.393,57881.85632,,,,,,
1995,10994041,0.122691634,1402916.589,202392.3041,67765.36032,,,,,,
1996,11178171,0.129968985,1474909.975,185020.1679,76772.88767,,,,,,
1997,11362401,0.128719412,1520243.155,169071.9983,84761.75169,,,,,,
1998,11548364,0.136204073,1542555.335,154949.3637,91477.22028,,,,,,
1999,11716454,0.135332625,1545624.368,142548.6849,96772.12667,,,,,,
2000,11834676,0.134663336,1533480.742,131570.8807,100653.4561,,,,,,
2001,11910978,0.134184218,1509385.984,121485.5232,102974.9548,,,,,,
2002,11984644,0.125477935,1475532.476,112182.5692,104080.6062,,,,,,
2003,12075828,0.125185494,1434967.012,103952.5136,103814.2167,,,,,,
2004,12160881,0.116473408,1391105.55,98537.27868,100626.7245,,,,,,
2005,12224753,0.115925737,1351756.115,94726.89957,94712.66359,,,,,,
2006,12330490,0.106947508,1318151.592,92572.57727,86866.01409,,,,,,
2007,12450568,0.106071188,1294199.75,90631.84334,77472.40772,,,,,,
2008,12550347,0.105011869,1277172.19,88629.9047,68057.4928,,,,,,
2009,12679810,0.095793362,1268790.282,86360.21206,58590.58924,,,,,,
2010,12839771,0.094505096,1275932.839,80573.92144,48673.71986,,,,,,
2011,13025785,0.093064211,1290532.719,72346.50899,40032.22684,,,,,,
2012,13265331,0.091497245,1307869.677,62250.14777,34358.58703,,,,,,
2013,13555422,0.09737552,1320423.311,58204.65161,30563.74506,,,,,,
2014,13855753,0.095681736,1329512.439,53703.12681,27910.19371,,,,,,
2015,14154937,0.094103054,1337019.593,49779.635,26451.3338,,,,,,
2016,14452704,0.092656357,1341780.015,44851.31328,25837.06344,,,,,,
2017,14751101,0.091313944,1342479.2,38831.12,25422.27108,,,,,,
2018,15052184,0.090035108,1338456.486,32853.39789,24446.71877,,,,,,
2019,15354608,0.092040114,1329225.983,26184.00705,23111.3745,,,,,,
2020,15669666,0.087465948,1314540.602,21937.75653,21550.6007,,,,,,
2021,15993524,0.086173348,1295073.362,20305.18407,19914.23738,,,,,,
2022,16320537,0.08489985,,,,346448.9535,249218.8861,356067.8277,158406.5813,1268162.685,962930.4052
2023,,,,,,356410.8183,256194.5262,353979.5208,157823.9818,1304739.735,991028.383
2024,,,,,,366853.3295,263492.5358,351209.5867,156832.8427,1342873.731,1020338.802
2025,,,,,,377522.8424,270850.7722,349640.8092,156404.3199,1381184.095,1049693.3
2026,,,,,,388066.3399,278072.1959,346809.4561,155493.8659,1419208.431,1078596.958
2027,,,,,,398542.2636,285211.5189,343876.5388,154505.4135,1457538.398,1107331.42
2028,,,,,,409267.5756,292444.2627,341454.8842,153621.4435,1496926.962,1136527.862
2029,,,,,,420357.9417,299863.4989,337703.3825,152320.915,1537704.648,1166494.772
2030,,,,,,431546.4529,307361.0142,333396.2621,150932.7139,1579195.403,1196772.277
2031,,,,,,442666.6301,314831.7547,326892.0379,148528.3728,1620656.583,1226917.102
2032,,,,,,453642.4438,322284.604,321247.3335,146253.5612,1662372.8,1257104.672
2033,,,,,,464672.8142,329783.9867,314630.9942,143740.1471,1704960.29,1287745.188
2034,,,,,,475740.7224,337334.4372,306078.8687,140510.9821,1748766.032,1319026.159
2035,,,,,,486755.6016,344791.9697,299466.7435,138005.3574,1793077.863,1350469.955
2036,,,,,,497514.58,352104.8723,291354.2176,134759.6105,1837160.56,1381794.642
2037,,,,,,508095.6099,359276.7698,284734.5516,132146.462,1881079.738,1412994.156
2038,,,,,,518544.1147,366339.9888,276674.4575,128991.7327,1925280.578,1444202.781
2039,,,,,,528809.7778,373320.6297,269820.4792,126464.666,1970088.675,1475541.628
2040,,,,,,538927.7733,380150.1445,262657.2248,123510.6776,2014938.594,1506604.06
2041,,,,,,548745.9536,386801.4367,256393.2639,121000.7323,2059250.881,1537117.991
2042,,,,,,558287.1821,393247.4035,248878.5545,117887.164,2102912.912,1567023.676
2043,,,,,,567583.3367,399497.3884,242551.787,115435.9748,2146139.736,1596467.532
2044,,,,,,576621.6693,405579.3581,236130.1263,112828.4247,2189099.032,1625618.676
2045,,,,,,585473.7143,411502.3736,230080.6493,110406.1741,2231496.558,1654347.668
2046,,,,,,594246.4208,417314.9418,224899.9714,108381.8023,2273212.547,1682613.215
2047,,,,,,602835.9902,423010.4986,219596.973,106277.5178,2314105.027,1710347.656
2048,,,,,,611148.622,428575.6677,212936.6681,103619.0691,2354101.591,1737547.139
2049,,,,,,619246.2277,434034.3767,207562.6476,101447.3696,2393195.135,1764280.768
2050,,,,,,627176.3418,439427.4888,202268.3178,99084.42429,2431318.378,1790548.291
