,Time,Sex,AgeStart,Value
0,1980,Male,0,0.07858337
1,1980,Female,0,0.06465676
3,1980,Male,1,0.01982599
4,1980,Female,1,0.01781623
6,1980,Male,2,0.01205949
7,1980,Female,2,0.01070533
9,1980,Male,3,0.00812974
10,1980,Female,3,0.00721948
12,1980,Male,4,0.00558918
13,1980,Female,4,0.00497418
15,1980,Male,5,0.00415053
16,1980,Female,5,0.00369035
18,1980,Male,6,0.00337913
19,1980,Female,6,0.00296768
21,1980,Male,7,0.00282477
22,1980,Female,7,0.00244475
24,1980,Male,8,0.00244887
25,1980,Female,8,0.00209699
27,1980,Male,9,0.00220191
28,1980,Female,9,0.00186918
30,1980,Male,10,0.00203811
31,1980,Female,10,0.00174677
33,1980,Male,11,0.00193182
34,1980,Female,11,0.00168852
36,1980,Male,12,0.00193192
37,1980,Female,12,0.00167974
39,1980,Male,13,0.00199069
40,1980,Female,13,0.00169997
42,1980,Male,14,0.00210853
43,1980,Female,14,0.00177385
45,1980,Male,15,0.00226484
46,1980,Female,15,0.00186553
48,1980,Male,16,0.00249596
49,1980,Female,16,0.00200723
51,1980,Male,17,0.00276626
52,1980,Female,17,0.00211543
54,1980,Male,18,0.00303878
55,1980,Female,18,0.00224788
57,1980,Male,19,0.00334265
58,1980,Female,19,0.00236194
60,1980,Male,20,0.00364677
61,1980,Female,20,0.00248009
63,1980,Male,21,0.00391366
64,1980,Female,21,0.00261064
66,1980,Male,22,0.00413705
67,1980,Female,22,0.00272276
69,1980,Male,23,0.00430355
70,1980,Female,23,0.00282515
72,1980,Male,24,0.00444083
73,1980,Female,24,0.00292837
75,1980,Male,25,0.0045497
76,1980,Female,25,0.00303063
78,1980,Male,26,0.00465796
79,1980,Female,26,0.00311852
81,1980,Male,27,0.00477753
82,1980,Female,27,0.00320171
84,1980,Male,28,0.00492006
85,1980,Female,28,0.00331321
87,1980,Male,29,0.00506662
88,1980,Female,29,0.00337556
90,1980,Male,30,0.00528922
91,1980,Female,30,0.00351833
93,1980,Male,31,0.00542969
94,1980,Female,31,0.00357726
96,1980,Male,32,0.00571658
97,1980,Female,32,0.00373065
99,1980,Male,33,0.00595762
0,1980,Female,33,0.00385755
2,1980,Male,34,0.00621336
3,1980,Female,34,0.00399785
5,1980,Male,35,0.00653865
6,1980,Female,35,0.00413702
8,1980,Male,36,0.00682964
9,1980,Female,36,0.00429989
11,1980,Male,37,0.00712631
12,1980,Female,37,0.00444635
14,1980,Male,38,0.00747995
15,1980,Female,38,0.00466935
17,1980,Male,39,0.0077897
18,1980,Female,39,0.00482382
20,1980,Male,40,0.00823906
21,1980,Female,40,0.00508708
23,1980,Male,41,0.00847145
24,1980,Female,41,0.00516145
26,1980,Male,42,0.00898457
27,1980,Female,42,0.00546968
29,1980,Male,43,0.00931083
30,1980,Female,43,0.00559513
32,1980,Male,44,0.0097642
33,1980,Female,44,0.00579604
35,1980,Male,45,0.01030956
36,1980,Female,45,0.00604476
38,1980,Male,46,0.01074048
39,1980,Female,46,0.00626161
41,1980,Male,47,0.01133132
42,1980,Female,47,0.00653128
44,1980,Male,48,0.01205714
45,1980,Female,48,0.00695685
