year,ng.adult_prevalence,ng.new_deaths,ng.new_infections,ng.n_infected
2000,0.023,,,
2001,,,,
2002,,,,
2003,,,,
2004,,,,
2005,,,,
2006,,,,
2007,,,,
2008,,,,
2009,,,,
2010,,,,
2011,,,,
2012,,,,
2013,,,,
2014,,,,
2015,,,,
2016,0.035,,,
2017,,,,
2018,,,,
2019,,,,
2020,,,,
2021,,,,
2022,,2.363189774,356067.8277,158406.5813
2023,,2.325019306,353979.5208,157823.9818
2024,,2.304219188,351209.5867,156832.8427
2025,,2.295583545,349640.8092,156404.3199
2026,,2.292562525,346809.4561,155493.8659
2027,,2.280978706,343876.5388,154505.4135
2028,,2.268115035,341454.8842,153621.4435
2029,,2.265311607,337703.3825,152320.915
2030,,2.266199709,333396.2621,150932.7139
2031,,2.256200546,326892.0379,148528.3728
2032,,2.24442289,321247.3335,146253.5612
2033,,2.236941261,314630.9942,143740.1471
2034,,2.231118425,306078.8687,140510.9821
2035,,2.240473827,299466.7435,138005.3574
2036,,2.24186187,291354.2176,134759.6105
2037,,2.251931479,284734.5516,132146.462
2038,,2.262795887,276674.4575,128991.7327
2039,,2.284063971,269820.4792,126464.666
2040,,2.298672445,262657.2248,123510.6776
2041,,2.320304122,256393.2639,121000.7323
2042,,2.333162183,248878.5545,117887.164
2043,,2.360488506,242551.787,115435.9748
2044,,2.382324068,236130.1263,112828.4247
2045,,2.408424801,230080.6493,110406.1741
2046,,2.436337942,224899.9714,108381.8023
2047,,2.464164324,219596.973,106277.5178
2048,,2.487715025,212936.6681,103619.0691
2049,,2.516062997,207562.6476,101447.3696
2050,,2.543325947,202268.3178,99084.42429
