time,ng_n_infected_f_15_25,ct_n_infected_f_15_25,tv_n_infected_f_15_25,ng_new_infections,ct_new_infections,tv_new_infections,ng_prevalence_f_15_25,ct_prevalence_f_15_25,tv_prevalence_f_15_25
2000,62988.2,251952.8,204711.65,303948.965,236837.1604,852516.6775,0.04,0.16,0.13
2001,63918.24,255672.96,207734.28,309130.761,240714.9333,857369.4991,0.04,0.16,0.13
2002,64443.32,257773.28,209440.79,314495.076,245864.8649,865533.4499,0.04,0.16,0.13
2003,64707.64,258830.56,210299.83,318973.176,252151.8052,879210.7601,0.04,0.16,0.13
2004,64500.44,258001.76,209626.43,322340.602,258298.8213,892610.0697,0.04,0.16,0.13
2005,63818.04,255272.16,207408.63,324015.083,263100.6251,901728.4378,0.04,0.16,0.13
2006,62714.2,250856.8,203821.15,324513.446,266977.9897,902188.2046,0.04,0.16,0.13
2007,61812.44,247249.76,200890.43,327068.545,273233.23,901618.8073,0.04,0.16,0.13
2008,60298.96,241195.84,195971.62,325319.205,275726.5267,888648.0932,0.04,0.16,0.13
2009,58841.6,235366.4,191235.2,323000.01,278543.6872,882183.8939,0.04,0.16,0.13
2010,57594.72,230378.88,187182.84,320885.967,282160.7957,890675.8744,0.04,0.16,0.13
2011,56578.56,226314.24,183880.32,318657.983,286207.9126,911341.6452,0.04,0.16,0.13
2012,56037.6,224150.4,182122.2,316422.021,290391.8893,935534.5407,0.04,0.16,0.13
2013,56432.36,225729.44,183405.17,313154.751,291617.9267,951901.2188,0.04,0.16,0.13
2014,57383.56,229534.24,186496.57,310053.519,293141.5201,972544.6629,0.04,0.16,0.13
2015,58769.76,235079.04,191001.72,308106.053,294685.3191,993846.3428,0.04,0.16,0.13
2016,60377.08,241508.32,196225.51,307182.913,296457.3572,1023974.285,0.04,0.16,0.13
2017,62073.16,248292.64,201737.77,307363.593,298873.6919,1066953.358,0.04,0.16,0.13
2018,63755.8,255023.2,207206.35,309849.425,302240.419,1112073.166,0.04,0.16,0.13
2019,65415.04,261660.16,212598.88,314758.676,306592.7768,1151903.149,0.04,0.16,0.13
2020,66994.4,267977.6,217731.8,321611.604,313717.4557,1180655.023,0.04,0.16,0.13
2021,68662.56,274650.24,223153.32,332127.054,318094.8447,1189789.401,0.04,0.16,0.13
2022,70061.08,280244.32,227698.51,331581.585,324596.1114,1216203.595,0.04,0.16,0.13
2023,71397.84,285591.36,232042.98,329288.099,330723.4277,1236955.364,0.04,0.16,0.13
2024,72714.4,290857.6,236321.8,326971.528,337680.4114,1258867.686,0.04,0.16,0.13
2025,74127.28,296509.12,240913.66,327595.46,346996.5456,1287607.605,0.04,0.16,0.13
2026,75570.8,302283.2,245605.1,327205.458,356678.9785,1317061.423,0.04,0.16,0.13
2027,77101.56,308406.24,250580.07,326579.92,366359.4027,1346699.984,0.04,0.16,0.13
2028,78657.8,314631.2,255637.85,326276.178,376659.8098,1378297.482,0.04,0.16,0.13
2029,80228.8,320915.2,260743.6,324184.068,387339.6472,1410963.936,0.04,0.16,0.13
2030,81722.12,326888.48,265596.89,321307.308,398315.3611,1445340.875,0.04,0.16,0.13
2031,83145.44,332581.76,270222.68,315792.972,409150.298,1479654.056,0.04,0.16,0.13
2032,84607.16,338428.64,274973.27,310848.96,419796.0051,1514343.871,0.04,0.16,0.13
2033,85888.8,343555.2,279138.6,304731.988,431010.3065,1552880.928,0.04,0.16,0.13
2034,86958.08,347832.32,282613.76,296610.781,442255.316,1593266.675,0.04,0.16,0.13
2035,87653.68,350614.72,284874.46,289970.22,453020.5094,1633644.986,0.04,0.16,0.13
2036,88137.2,352548.8,286445.9,281908.261,463739.9437,1675190.411,0.04,0.16,0.13
2037,88422,353688,287371.5,275010.186,473782.9431,1715336.692,0.04,0.16,0.13
2038,88652.4,354609.6,288120.3,266727.477,483992.475,1758182.438,0.04,0.16,0.13
2039,88864.68,355458.72,288810.21,259544.916,493990.9187,1802181.767,0.04,0.16,0.13
2040,89201.2,356804.8,289903.9,252137.39,503644.4804,1846158.236,0.04,0.16,0.13
