time,ng_n_infected_f_15_25,ct_n_infected_f_15_25,tv_n_infected_f_15_25,ng_new_infections,ct_new_infections,tv_new_infections,ng_prevalence_f_15_25,ct_prevalence_f_15_25,tv_prevalence_f_15_25,ng_n_infected,ng_prevalence,ct_n_infected,ct_prevalence,tv_n_infected,tv_prevalence
2000,62988.2,251952.8,204711.65,303948.965,236837.1604,852516.6775,0.04,0.16,0.13,133038.1343,0.020613667,169252.6808,0.02622495,760272.2163,0.117800798
2001,63918.24,255672.96,207734.28,309130.761,240714.9333,857369.4991,0.04,0.16,0.13,135296.6546,0.020670526,171869.2449,0.02625806,769847.7893,0.117616794
2002,64443.32,257773.28,209440.79,314495.076,245864.8649,865533.4499,0.04,0.16,0.13,137613.2789,0.020858151,175277.9051,0.026567008,782681.5928,0.118631654
2003,64707.64,258830.56,210299.83,318973.176,252151.8052,879210.7601,0.04,0.16,0.13,139513.8455,0.020958728,179435.1857,0.026955985,799819.4978,0.120154376
2004,64500.44,258001.76,209626.43,322340.602,258298.8213,892610.0697,0.04,0.16,0.13,140920.1905,0.021024878,183499.3385,0.027377562,816739.4437,0.121855123
2005,63818.04,255272.16,207408.63,324015.083,263100.6251,901728.4378,0.04,0.16,0.13,141602.415,0.021087305,186710.746,0.027804798,830346.8373,0.12365451
2006,62714.2,250856.8,203821.15,324513.446,266977.9897,902188.2046,0.04,0.16,0.13,141921.388,0.021134275,189338.4139,0.028195398,825878.5534,0.122986002
2007,61812.44,247249.76,200890.43,327068.545,273233.23,901618.8073,0.04,0.16,0.13,143314.2388,0.021101125,193641.2408,0.02851111,804999.775,0.118525561
2008,60298.96,241195.84,195971.62,325319.205,275726.5267,888648.0932,0.04,0.16,0.13,142923.5011,0.020977915,195329.7197,0.028669955,765341.1474,0.112334651
2009,58841.6,235366.4,191235.2,323000.01,278543.6872,882183.8939,0.04,0.16,0.13,142212.2352,0.020771775,197300.8235,0.028818114,734636.7429,0.107302366
2010,57594.72,230378.88,187182.84,320885.967,282160.7957,890675.8744,0.04,0.16,0.13,141428.4974,0.020524607,199910.653,0.029011745,729784.6129,0.10590894
2011,56578.56,226314.24,183880.32,318657.983,286207.9126,911341.6452,0.04,0.16,0.13,140517.8849,0.020224451,202911.2948,0.029204606,744446.4366,0.107146647
2012,56037.6,224150.4,182122.2,316422.021,290391.8893,935534.5407,0.04,0.16,0.13,139664.0155,0.01987193,206082.0887,0.029322147,761086.1768,0.108290249
2013,56432.36,225729.44,183405.17,313154.751,291617.9267,951901.2188,0.04,0.16,0.13,138421.2932,0.01927656,207239.118,0.028860135,770824.6273,0.107345095
2014,57383.56,229534.24,186496.57,310053.519,293141.5201,972544.6629,0.04,0.16,0.13,137244.6703,0.018647146,208639.5333,0.028347416,782505.8625,0.106317431
2015,58769.76,235079.04,191001.72,308106.053,294685.3191,993846.3428,0.04,0.16,0.13,136541.1984,0.018088406,210066.998,0.027828795,793974.2086,0.105182375
2016,60377.08,241508.32,196225.51,307182.913,296457.3572,1023974.285,0.04,0.16,0.13,136197.8529,0.017580284,211708.4301,0.027327114,805836.7741,0.104016613
2017,62073.16,248292.64,201737.77,307363.593,298873.6919,1066953.358,0.04,0.16,0.13,136262.8186,0.017134171,213874.9852,0.026893401,819453.9549,0.103041052
2018,63755.8,255023.2,207206.35,309849.425,302240.419,1112073.166,0.04,0.16,0.13,137282.001,0.016824164,216677.6886,0.026554253,834207.6611,0.102233699
2019,65415.04,261660.16,212598.88,314758.676,306592.7768,1151903.149,0.04,0.16,0.13,139454.12,0.016661486,220119.5707,0.026299109,850737.1429,0.101643069
2020,66994.4,267977.6,217731.8,321611.604,313717.4557,1180655.023,0.04,0.16,0.13,142838.2457,0.016653429,225217.3796,0.026257965,872826.4222,0.101762333
2021,68662.56,274650.24,223153.32,332127.054,318094.8447,1189789.401,0.04,0.16,0.13,147874.4351,0.016792302,229431.5407,0.02605375,896177.1176,0.101767939
2022,70061.08,280244.32,227698.51,331581.585,324596.1114,1216203.595,0.04,0.16,0.13,148024.6408,0.016402407,234159.9308,0.025946941,916616.9788,0.10156907
2023,71397.84,285591.36,232042.98,329288.099,330723.4277,1236955.364,0.04,0.16,0.13,147357.9877,0.015898204,238414.2025,0.025722105,933444.5787,0.100707756
2024,72714.4,290857.6,236321.8,326971.528,337680.4114,1258867.686,0.04,0.16,0.13,146531.0042,0.015362251,243202.2993,0.025497231,951775.3762,0.099783745
2025,74127.28,296509.12,240913.66,327595.46,346996.5456,1287607.605,0.04,0.16,0.13,147010.4054,0.015,249577.8549,0.025,975466.8945,0.1
2026,75570.8,302283.2,245605.1,327205.458,356678.9785,1317061.423,0.04,0.16,0.13,147097.3307,0.015,256179.3006,0.025,999753.3219,0.1
2027,77101.56,308406.24,250580.07,326579.92,366359.4027,1346699.984,0.04,0.16,0.13,147040.8053,0.015,262711.0983,0.025,1023889.252,0.1
2028,78657.8,314631.2,255637.85,326276.178,376659.8098,1378297.482,0.04,0.16,0.13,147001.9213,0.015,269547.1239,0.025,1048921.503,0.1
2029,80228.8,320915.2,260743.6,324184.068,387339.6472,1410963.936,0.04,0.16,0.13,146326.1982,0.015,276531.8912,0.025,1074531.412,0.1
2030,81722.12,326888.48,265596.89,321307.308,398315.3611,1445340.875,0.04,0.16,0.13,145453.1062,0.015,283700.876,0.025,1101140.585,0.1
2031,83145.44,332581.76,270222.68,315792.972,409150.298,1479654.056,0.04,0.16,0.13,143361.4242,0.015,290759.8461,0.025,1127553.807,0.1
2032,84607.16,338428.64,274973.27,310848.96,419796.0051,1514343.871,0.04,0.16,0.13,141288.8459,0.015,297763.407,0.025,1154010,0.1
2033,85888.8,343555.2,279138.6,304731.988,431010.3065,1552880.928,0.04,0.16,0.13,138931.4793,0.015,305301.2735,0.025,1182737.624,0.1
2034,86958.08,347832.32,282613.76,296610.781,442255.316,1593266.675,0.04,0.16,0.13,135830.9625,0.015,312884.4213,0.025,1212249.486,0.1
2035,87653.68,350614.72,284874.46,289970.22,453020.5094,1633644.986,0.04,0.16,0.13,133262.035,0.015,320082.2818,0.025,1241136.37,0.1
2036,88137.2,352548.8,286445.9,281908.261,463739.9437,1675190.411,0.04,0.16,0.13,129999.5404,0.015,327285.2187,0.025,1270572.598,0.1
2037,88422,353688,287371.5,275010.186,473782.9431,1715336.692,0.04,0.16,0.13,127235.0152,0.015,334024.8343,0.025,1298825.684,0.1
2038,88652.4,354609.6,288120.3,266727.477,483992.475,1758182.438,0.04,0.16,0.13,123973.9983,0.015,340911.0328,0.025,1328592.882,0.1
2039,88864.68,355458.72,288810.21,259544.916,493990.9187,1802181.767,0.04,0.16,0.13,121307.2082,0.015,347767.7651,0.025,1358793.079,0.1
2040,89201.2,356804.8,289903.9,252137.39,503644.4804,1846158.236,0.04,0.16,0.13,118271.0474,0.015,354388.6339,0.025,1388555.809,0.1
