year,tv.new_infections,tv.n_infected
2022,1268162.685,962930.4052
2023,1304739.735,991028.383
2024,1342873.731,1020338.802
2025,1381184.095,1049693.3
2026,1419208.431,1078596.958
2027,1457538.398,1107331.42
2028,1496926.962,1136527.862
2029,1537704.648,1166494.772
2030,1579195.403,1196772.277
2031,1620656.583,1226917.102
2032,1662372.8,1257104.672
2033,1704960.29,1287745.188
2034,1748766.032,1319026.159
2035,1793077.863,1350469.955
2036,1837160.56,1381794.642
2037,1881079.738,1412994.156
2038,1925280.578,1444202.781
2039,1970088.675,1475541.628
2040,2014938.594,1506604.06
2041,2059250.881,1537117.991
2042,2102912.912,1567023.676
2043,2146139.736,1596467.532
2044,2189099.032,1625618.676
2045,2231496.558,1654347.668
2046,2273212.547,1682613.215
2047,2314105.027,1710347.656
2048,2354101.591,1737547.139
2049,2393195.135,1764280.768
2050,2431318.378,1790548.291
